Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
130040 BARCELOS,61,86,68,82,118,66,128,56,39,37,741
130050 BARREIRINHA,23,14,37,37,20,5,5,14,5,2,162
130060 BENJAMIN CONSTANT,24,25,66,10,10,6,14,5,7,7,174
130063 BERURI,49,60,77,47,11,9,12,4,2,6,277
130068 BOA VISTA DO RAMOS,5,3,5,NA,1,NA,2,1,NA,NA,17
130070 BOCA DO ACRE,89,70,48,74,66,31,17,91,56,17,559
130080 BORBA,12,1,4,18,6,12,3,5,1,5,67
130083 CAAPIRANGA,20,13,15,8,6,5,5,5,1,3,81
130090 CANUTAMA,9,5,11,18,89,36,9,6,7,10,200
130100 CARAUARI,105,87,78,19,9,27,30,43,17,2,417
130110 CAREIRO,36,35,14,7,NA,3,13,11,7,3,129
130115 CAREIRO DA VARZEA,50,32,29,14,10,10,20,23,13,13,214
130120 COARI,24,7,1,1,3,6,8,2,3,2,57
130130 CODAJAS,8,17,12,10,11,9,16,12,10,5,110
130140 EIRUNEPE,42,33,24,15,27,10,8,3,9,4,175
130150 ENVIRA,1,5,2,2,7,4,NA,2,2,3,28
130160 FONTE BOA,37,36,40,51,40,70,69,10,7,10,370
130165 GUAJARA,23,29,95,12,5,4,5,10,11,4,198
130170 HUMAITA,87,25,36,56,39,28,28,23,15,28,365
130180 IPIXUNA,48,53,72,67,56,49,28,16,57,12,458
130185 IRANDUBA,216,75,64,35,10,48,55,40,63,53,659
130190 ITACOATIARA,105,74,59,30,16,7,12,50,28,15,396
130195 ITAMARATI,26,20,7,7,1,1,3,4,6,8,83
130200 ITAPIRANGA,1,NA,2,1,NA,NA,NA,NA,1,1,6
130210 JAPURA,5,12,9,6,4,1,1,2,3,1,44
130220 JURUA,12,12,14,12,14,8,6,7,2,1,88
130230 JUTAI,459,527,504,6,36,11,NA,1,2,NA,1546
130240 LABREA,62,103,34,26,17,8,7,6,4,2,269
130250 MANACAPURU,240,150,82,73,77,53,35,12,9,6,737
130255 MANAQUIRI,18,10,6,3,7,3,2,4,1,6,60
130260 MANAUS,4286,2865,2171,1260,25,901,1855,2333,2141,1679,19516
130270 MANICORE,33,28,13,15,11,11,10,9,4,7,141
130280 MARAA,25,17,25,38,12,8,9,8,7,2,151
130290 MAUES,82,68,81,13,16,13,66,106,65,58,568
130300 NHAMUNDA,29,18,21,6,9,11,3,1,2,2,102
130310 NOVA OLINDA DO NORTE,46,1,4,9,5,2,1,1,1,1,71
130320 NOVO AIRAO,21,32,21,35,110,38,18,14,9,7,305
130330 NOVO ARIPUANA,28,25,21,10,NA,3,1,NA,1,1,90
130340 PARINTINS,95,91,61,57,51,5,4,2,NA,NA,366
130350 PAUINI,8,9,12,7,8,11,6,19,16,11,107
130353 PRESIDENTE FIGUEIREDO,183,296,275,177,9,2,11,22,15,6,996
130356 RIO PRETO DA EVA,44,9,13,6,3,10,8,21,18,11,143
130360 SANTA ISABEL DO RIO NEGRO,9,18,21,20,46,36,37,12,6,2,207
130370 SANTO ANTONIO DO ICA,23,29,19,11,1,5,1,4,2,4,99
130380 SAO GABRIEL DA CACHOEIRA,106,89,115,145,83,81,18,27,47,1,712
130390 SAO PAULO DE OLIVENCA,13,22,11,27,27,14,6,2,4,11,137
130395 SAO SEBASTIAO DO UATUMA,5,9,10,14,8,2,1,NA,NA,NA,49
130400 SILVES,4,1,6,1,NA,2,4,5,2,NA,25
130406 TABATINGA,296,174,199,70,31,7,25,23,33,32,890
130410 TAPAUA,24,25,13,11,14,15,9,8,5,8,132
130420 TEFE,214,106,140,159,123,85,39,13,16,7,902
130423 TONANTINS,26,25,NA,17,9,4,7,1,2,1,92
130426 UARINI,38,18,14,4,7,4,4,5,2,2,98
130430 URUCARA,4,8,4,3,2,3,3,NA,3,NA,30
130440 URUCURITUBA,7,3,3,3,NA,1,2,NA,NA,2,21
 MUNICIPIO IGNORADO NA RR,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
140002 AMAJARI,65,50,46,83,59,87,129,82,72,88,761
140005 ALTO ALEGRE,165,108,135,145,233,204,375,354,317,162,2198
140010 BOA VISTA,206,221,165,216,452,552,658,1051,424,342,4287
140015 BONFIM,23,26,26,25,35,21,38,46,16,8,264
140017 CANTA,22,17,16,14,27,25,29,68,24,20,262
140020 CARACARAI,18,24,20,34,48,27,71,53,24,28,347
140023 CAROEBE,8,6,5,7,6,3,10,15,NA,7,67
140028 IRACEMA,31,28,14,21,21,38,26,26,24,13,242
140030 MUCAJAI,18,26,13,13,30,24,35,54,27,27,267
140040 NORMANDIA,20,22,24,14,24,16,34,35,23,13,225
140045 PACARAIMA,12,13,5,22,25,59,43,75,36,58,348
140047 RORAINOPOLIS,45,45,16,8,33,9,23,52,15,7,253
140050 SAO JOAO DA BALIZA,3,11,3,6,9,4,7,14,5,4,66
140060 SAO LUIZ,5,3,2,4,7,2,2,12,6,1,44
140070 UIRAMUTA,28,29,34,41,40,52,46,62,28,17,377
 MUNICIPIO IGNORADO NA PA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
150010 ABAETETUBA,91,147,74,85,56,1325,156,200,221,228,2583
150013 ABEL FIGUEIREDO,3,3,4,7,5,1,1,2,4,3,33
150020 ACARA,68,240,462,61,54,69,88,74,20,16,1152
150030 AFUA,251,156,201,134,76,77,111,119,103,60,1288
150034 AGUA AZUL DO NORTE,78,16,20,13,11,15,9,1,6,2,171
150040 ALENQUER,15,24,18,15,30,16,27,9,18,15,187
150050 ALMEIRIM,57,64,66,35,28,127,59,11,14,11,472
150060 ALTAMIRA,234,456,255,241,167,124,198,140,134,38,1987
150070 ANAJAS,227,231,361,39,23,4,13,16,26,5,945
150080 ANANINDEUA,567,800,1445,797,1290,1421,2465,1802,265,226,11078
150085 ANAPU,55,73,61,25,23,13,16,18,5,5,294
150090 AUGUSTO CORREA,283,279,200,222,183,118,126,54,47,16,1528
150095 AURORA DO PARA,13,16,16,24,21,25,14,27,9,10,175
150100 AVEIRO,5,14,8,5,12,5,8,11,8,NA,76
150110 BAGRE,128,214,206,149,142,79,149,121,86,59,1333
150120 BAIAO,12,13,19,5,10,32,33,25,25,19,193
150125 BANNACH,5,8,8,11,3,1,NA,NA,NA,1,37
150130 BARCARENA,126,122,115,73,60,140,103,59,17,19,834
150140 BELEM,692,861,782,591,967,897,1145,1035,627,331,7928
150145 BELTERRA,7,13,15,11,14,4,63,19,19,6,171
150150 BENEVIDES,36,48,68,38,89,70,156,122,23,13,663
150157 BOM JESUS DO TOCANTINS,13,7,16,12,10,12,11,6,1,1,89
150160 BONITO,22,26,42,59,23,10,12,14,5,2,215
150170 BRAGANCA,860,854,629,748,702,628,467,152,172,62,5274
150172 BRASIL NOVO,22,24,29,21,62,18,6,7,4,NA,193
150175 BREJO GRANDE DO ARAGUAIA,6,9,4,7,3,4,9,1,2,2,47
150178 BREU BRANCO,32,34,74,25,11,4,2,5,10,12,209
150180 BREVES,658,594,489,362,279,275,99,97,53,35,2941
150190 BUJARU,24,24,42,9,37,35,39,46,9,7,272
150195 CACHOEIRA DO PIRIA,32,37,120,117,56,48,44,37,20,15,526
150200 CACHOEIRA DO ARARI,18,20,19,19,11,21,11,17,21,14,171
150210 CAMETA,120,123,105,122,58,60,53,43,47,35,766
150215 CANAA DOS CARAJAS,86,115,51,39,22,21,28,39,20,72,493
150220 CAPANEMA,128,191,265,373,194,118,106,105,49,39,1568
150230 CAPITAO POCO,50,31,37,23,24,17,27,12,2,10,233
150240 CASTANHAL,64,75,58,79,49,36,20,31,26,14,452
150250 CHAVES,54,66,79,88,79,38,53,29,31,25,542
150260 COLARES,29,13,3,2,14,14,12,16,5,6,114
150270 CONCEICAO DO ARAGUAIA,58,31,55,58,16,21,16,17,34,18,324
150275 CONCORDIA DO PARA,30,22,19,25,34,45,20,15,12,4,226
150276 CUMARU DO NORTE,16,5,23,18,8,10,18,5,9,9,121
150277 CURIONOPOLIS,6,6,7,7,7,1,3,1,NA,NA,38
150280 CURRALINHO,125,108,168,141,154,76,117,138,80,27,1134
150285 CURUA,7,5,6,6,8,3,5,15,11,2,68
150290 CURUCA,26,46,29,20,26,35,29,13,13,10,247
150293 DOM ELISEU,14,19,20,12,15,11,30,28,18,31,198
150295 ELDORADO DOS CARAJAS,10,11,14,14,15,3,4,5,3,2,81
150300 FARO,12,3,7,9,5,3,1,4,NA,NA,44
150304 FLORESTA DO ARAGUAIA,14,16,15,12,2,3,2,19,11,3,97
150307 GARRAFAO DO NORTE,23,13,18,18,13,14,14,6,6,8,133
150309 GOIANESIA DO PARA,9,9,17,8,5,6,6,10,9,15,94
150310 GURUPA,268,231,217,260,249,200,101,94,107,45,1772
150320 IGARAPENAACU,7,9,13,3,13,9,21,16,2,NA,93
150330 IGARAPENAMIRI,284,193,117,147,57,135,68,72,48,46,1167
150340 INHANGAPI,3,12,3,3,NA,1,5,3,NA,NA,30
150345 IPIXUNA DO PARA,58,68,80,78,65,84,58,66,71,64,692
150350 IRITUIA,14,19,30,20,30,22,10,12,5,13,175
150360 ITAITUBA,243,377,88,80,74,73,81,111,95,9,1231
150370 ITUPIRANGA,29,61,25,29,16,21,46,13,9,5,254
150375 JACAREACANGA,65,60,27,58,31,18,25,23,21,31,359
150380 JACUNDA,23,14,13,14,10,4,6,4,1,1,90
150390 JURUTI,33,32,22,28,31,31,22,13,29,14,255
150400 LIMOEIRO DO AJURU,20,25,29,20,24,21,25,42,32,28,266
150405 MAE DO RIO,11,24,82,7,24,21,10,14,19,13,225
150410 MAGALHAES BARATA,NA,1,3,2,6,9,8,6,3,1,39
150420 MARABA,102,87,179,111,65,56,62,39,50,45,796
150430 MARACANA,23,104,148,10,37,16,12,35,17,28,430
150440 MARAPANIM,10,18,19,17,11,11,11,8,6,2,113
150442 MARITUBA,64,60,155,79,134,132,314,265,52,44,1299
150445 MEDICILANDIA,15,12,16,17,22,23,13,27,14,9,168
150450 MELGACO,131,127,108,61,59,21,7,9,8,12,543
150460 MOCAJUBA,17,9,16,14,16,20,27,10,20,12,161
150470 MOJU,90,66,43,56,72,99,70,76,77,71,720
150475 MOJUI DOS CAMPOS,7,9,9,8,9,1,3,6,8,2,62
150480 MONTE ALEGRE,53,63,45,25,23,20,49,24,39,138,479
150490 MUANA,17,13,9,11,12,36,29,108,96,79,410
150495 NOVA ESPERANCA DO PIRIA,50,59,52,17,10,13,4,10,15,9,239
150497 NOVA IPIXUNA,6,2,1,8,4,NA,3,1,NA,2,27
150500 NOVA TIMBOTEUA,15,9,20,33,21,5,9,6,5,4,127
150503 NOVO PROGRESSO,51,53,18,11,7,5,12,35,29,2,223
150506 NOVO REPARTIMENTO,15,13,13,25,9,26,13,7,7,3,131
150510 OBIDOS,82,73,51,46,58,25,66,106,55,37,599
150520 OEIRAS DO PARA,66,94,67,99,76,61,87,508,407,314,1779
150530 ORIXIMINA,73,65,84,58,83,33,49,15,16,8,484
150540 OUREM,15,20,44,42,15,18,14,12,12,5,197
150543 OURILANDIA DO NORTE,14,53,12,10,6,4,6,3,5,11,124
150548 PACAJA,34,56,46,28,34,13,20,50,41,24,346
150549 PALESTINA DO PARA,14,19,10,4,5,2,3,3,6,10,76
150550 PARAGOMINAS,798,1873,1847,1814,2021,1940,1757,1761,1642,1651,17104
150553 PARAUAPEBAS,127,143,116,133,153,38,27,13,33,11,794
150555 PAU D'ARCO,3,9,9,7,7,10,6,5,2,3,61
150560 PEIXENABOI,10,13,27,38,13,15,13,14,3,2,148
150563 PICARRA,26,9,9,17,12,5,2,3,12,6,101
150565 PLACAS,14,6,5,5,3,3,4,NA,3,NA,43
150570 PONTA DE PEDRAS,13,16,20,14,26,27,16,19,14,3,168
150580 PORTEL,238,651,537,535,345,22,125,61,53,31,2598
150590 PORTO DE MOZ,67,71,75,115,98,42,53,39,30,35,625
150600 PRAINHA,25,24,28,19,27,33,14,10,11,24,215
150610 PRIMAVERA,18,57,83,87,90,64,13,14,4,NA,430
150611 QUATIPURU,22,24,39,64,20,21,21,5,10,2,228
150613 REDENCAO,49,60,110,117,54,44,12,21,26,25,518
150616 RIO MARIA,18,227,202,213,4,2,1,NA,1,2,670
150618 RONDON DO PARA,7,10,22,19,12,18,11,34,34,11,178
150619 RUROPOLIS,24,31,42,8,18,19,19,19,11,2,193
150620 SALINOPOLIS,49,47,50,45,53,53,53,57,25,11,443
150630 SALVATERRA,57,58,26,10,11,6,3,8,11,6,196
150635 SANTA BARBARA DO PARA,15,22,20,22,40,39,43,44,10,8,263
150640 SANTA CRUZ DO ARARI,12,5,5,2,1,3,5,26,6,2,67
150650 SANTA IZABEL DO PARA,17,20,21,21,31,40,68,84,16,21,339
150655 SANTA LUZIA DO PARA,47,43,101,123,44,29,33,18,13,5,456
150658 SANTA MARIA DAS BARREIRAS,30,40,32,21,48,7,2,10,11,7,208
150660 SANTA MARIA DO PARA,18,22,32,29,21,38,5,15,5,5,190
150670 SANTANA DO ARAGUAIA,14,16,25,15,13,4,7,5,8,3,110
150680 SANTAREM,312,345,422,304,319,37,81,228,240,37,2325
150690 SANTAREM NOVO,14,12,10,22,14,8,17,7,6,NA,110
150700 SANTO ANTONIO DO TAUA,15,22,15,18,32,34,29,34,11,10,220
150710 SAO CAETANO DE ODIVELAS,30,23,21,5,17,13,20,18,13,8,168
150715 SAO DOMINGOS DO ARAGUAIA,12,7,9,5,7,7,4,2,2,3,58
150720 SAO DOMINGOS DO CAPIM,19,16,15,16,20,11,21,7,4,6,135
150730 SAO FELIX DO XINGU,34,88,29,10,39,8,16,123,58,111,516
150740 SAO FRANCISCO DO PARA,6,4,11,3,4,1,2,3,2,1,37
150745 SAO GERALDO DO ARAGUAIA,37,54,42,136,105,68,31,135,129,105,842
150746 SAO JOAO DA PONTA,2,2,5,3,5,2,4,2,NA,2,27
150747 SAO JOAO DE PIRABAS,19,28,58,51,33,24,25,16,11,11,276
150750 SAO JOAO DO ARAGUAIA,NA,NA,4,6,3,3,3,NA,2,4,25
150760 SAO MIGUEL DO GUAMA,36,24,50,24,34,41,22,33,17,54,335
150770 SAO SEBASTIAO DA BOA VISTA,32,34,27,20,21,32,45,53,45,39,348
150775 SAPUCAIA,5,6,7,3,6,4,3,3,4,2,43
150780 SENADOR JOSE PORFIRIO,27,49,22,16,13,10,17,17,14,5,190
150790 SOURE,33,23,17,9,16,2,1,1,3,3,108
150795 TAILANDIA,70,37,63,41,120,95,20,47,49,32,574
150796 TERRA ALTA,5,4,4,5,8,6,2,2,NA,2,38
150797 TERRA SANTA,12,7,16,4,47,17,9,11,8,5,136
150800 TOMENAACU,157,122,81,76,100,45,49,41,40,29,740
150803 TRACUATEUA,197,212,149,209,145,125,107,34,37,16,1231
150805 TRAIRAO,28,17,22,28,8,8,10,5,3,1,130
150808 TUCUMA,14,340,24,12,13,16,12,3,8,2,444
150810 TUCURUI,88,110,391,79,40,44,29,46,40,80,947
150812 ULIANOPOLIS,11,17,20,22,20,20,23,18,8,28,187
150815 URUARA,19,38,30,46,59,11,14,19,9,12,257
150820 VIGIA,48,73,49,30,42,51,72,51,22,22,460
150830 VISEU,194,226,181,230,162,104,130,116,73,54,1470
150835 VITORIA DO XINGU,27,39,12,16,13,7,6,7,7,8,142
150840 XINGUARA,28,34,23,33,19,29,42,32,11,9,260
160005 SERRA DO NAVIO,7,4,3,3,1,3,4,3,NA,2,30
160010 AMAPA,11,10,10,9,14,9,6,11,NA,NA,80
160015 PEDRA BRANCA DO AMAPARI,40,24,52,14,13,9,16,14,11,6,199
160020 CALCOENE,19,11,9,4,1,4,2,2,2,5,59
160021 CUTIAS,3,5,6,3,NA,6,4,2,NA,1,30
160023 FERREIRA GOMES,22,13,12,10,5,6,6,12,12,6,104
160025 ITAUBAL,7,7,13,15,7,7,11,19,5,3,94
160027 LARANJAL DO JARI,86,19,19,9,1,555,145,1,1,NA,836
160030 MACAPA,1202,905,649,410,272,164,117,150,125,66,4060
160040 MAZAGAO,48,56,41,36,34,41,65,39,19,8,387
160050 OIAPOQUE,62,36,31,17,15,21,21,32,35,24,294
160053 PORTO GRANDE,30,18,16,12,17,13,6,6,6,3,127
160055 PRACUUBA,12,7,10,8,9,18,15,13,4,2,98
160060 SANTANA,226,161,190,123,75,99,227,169,55,22,1347
160070 TARTARUGALZINHO,60,64,82,74,71,62,55,37,8,3,516
160080 VITORIA DO JARI,27,4,4,1,5,198,48,2,1,3,293
 MUNICIPIO IGNORADO NA TO,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3
170025 ABREULANDIA,NA,NA,NA,1,NA,NA,NA,1,1,1,4
170030 AGUIARNOPOLIS,6,1,2,1,3,NA,NA,1,NA,NA,14
170035 ALIANCA DO TOCANTINS,4,5,2,3,NA,1,1,NA,NA,NA,16
170040 ALMAS,4,3,4,3,2,3,3,1,3,2,28
170070 ALVORADA,6,4,2,2,3,1,1,1,2,1,23
170100 ANANAS,2,2,2,2,1,1,2,4,4,3,23
170105 ANGICO,1,1,2,1,NA,NA,NA,1,NA,NA,6
170110 APARECIDA DO RIO NEGRO,5,NA,NA,NA,NA,1,NA,NA,1,2,9
170130 ARAGOMINAS,NA,NA,NA,NA,NA,1,5,NA,NA,NA,6
170190 ARAGUACEMA,3,12,8,2,NA,1,1,1,1,2,31
170200 ARAGUACU,4,8,4,6,3,2,2,4,3,3,39
170210 ARAGUAINA,28,15,4,10,8,7,28,38,4,4,146
170215 ARAGUANA,2,2,1,1,4,NA,1,2,1,NA,14
170220 ARAGUATINS,202,205,258,139,94,54,64,66,32,17,1131
170230 ARAPOEMA,2,2,NA,4,2,1,3,1,NA,NA,15
170240 ARRAIAS,5,8,12,7,10,11,5,3,2,1,64
170255 AUGUSTINOPOLIS,102,117,165,73,79,38,42,31,22,7,676
170270 AURORA DO TOCANTINS,1,NA,2,3,NA,2,4,4,NA,1,17
170290 AXIXA DO TOCANTINS,38,40,77,30,36,23,49,58,13,12,376
170300 BABACULANDIA,NA,1,NA,NA,2,NA,NA,1,NA,NA,4
170305 BANDEIRANTES DO TOCANTINS,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3
170307 BARRA DO OURO,NA,2,NA,NA,NA,NA,NA,1,NA,NA,3
170310 BARROLANDIA,1,2,NA,NA,NA,NA,1,NA,NA,1,5
170320 BERNARDO SAYAO,4,1,NA,1,NA,NA,NA,2,NA,NA,8
170330 BOM JESUS DO TOCANTINS,2,2,2,NA,1,NA,1,1,NA,NA,9
170360 BRASILANDIA DO TOCANTINS,1,1,1,NA,NA,NA,1,NA,NA,NA,4
170370 BREJINHO DE NAZARE,7,5,6,9,6,1,NA,2,1,1,38
170380 BURITI DO TOCANTINS,57,63,54,34,34,16,26,20,7,6,317
170382 CACHOEIRINHA,11,1,6,7,4,NA,1,3,NA,NA,33
170384 CAMPOS LINDOS,6,2,4,2,1,1,3,3,3,NA,25
170386 CARIRI DO TOCANTINS,3,5,1,1,1,NA,1,NA,NA,NA,12
170389 CARRASCO BONITO,18,21,29,20,17,6,5,8,5,3,132
170390 CASEARA,1,NA,NA,NA,NA,NA,NA,1,1,NA,3
170410 CENTENARIO,1,NA,2,NA,1,1,1,NA,NA,NA,6
170460 CHAPADA DE AREIA,1,1,NA,NA,1,NA,NA,NA,NA,1,4
170510 CHAPADA DA NATIVIDADE,3,2,NA,3,NA,NA,NA,2,2,NA,12
170550 COLINAS DO TOCANTINS,13,8,6,7,2,4,11,13,9,3,76
170555 COMBINADO,1,5,1,3,3,1,3,2,NA,NA,19
170560 CONCEICAO DO TOCANTINS,4,2,NA,3,1,2,NA,NA,1,2,15
170600 COUTO MAGALHAES,1,3,3,1,2,NA,NA,NA,1,NA,11
170610 CRISTALANDIA,4,4,1,2,1,NA,1,4,1,2,20
170625 CRIXAS DO TOCANTINS,1,NA,1,2,2,NA,NA,NA,NA,NA,6
170650 DARCINOPOLIS,2,1,1,NA,1,1,1,1,1,1,10
170700 DIANOPOLIS,24,19,14,8,11,15,13,5,3,2,114
170710 DIVINOPOLIS DO TOCANTINS,4,NA,NA,NA,NA,NA,1,1,2,1,9
170720 DOIS IRMAOS DO TOCANTINS,3,2,NA,NA,1,2,NA,1,2,1,12
170730 DUERE,2,1,1,1,1,NA,1,1,1,1,10
170740 ESPERANTINA,37,64,59,52,40,15,16,20,9,7,319
170755 FATIMA,5,5,6,5,1,NA,NA,NA,2,NA,24
170765 FIGUEIROPOLIS,11,3,4,5,2,2,2,NA,NA,NA,29
170770 FILADELFIA,4,4,4,1,1,1,2,2,NA,NA,19
170820 FORMOSO DO ARAGUAIA,27,25,14,14,9,NA,3,3,3,3,101
170825 FORTALEZA DO TABOCAO,NA,1,NA,1,NA,1,2,1,NA,1,7
170830 GOIANORTE,1,NA,NA,NA,1,3,1,1,NA,NA,7
170900 GOIATINS,5,3,3,4,7,4,3,6,2,3,40
170930 GUARAI,6,NA,3,3,3,6,13,9,10,8,61
170950 GURUPI,74,47,42,50,17,4,10,11,3,4,262
170980 IPUEIRAS,1,NA,3,NA,NA,NA,NA,NA,NA,NA,4
171050 ITACAJA,6,3,2,2,2,1,3,4,1,2,26
171070 ITAGUATINS,17,13,34,14,8,3,24,22,7,4,146
171090 ITAPIRATINS,NA,NA,1,NA,1,1,1,1,NA,NA,5
171110 ITAPORA DO TOCANTINS,1,NA,NA,NA,NA,2,2,NA,1,1,7
171150 JAU DO TOCANTINS,6,1,NA,NA,NA,NA,NA,NA,NA,NA,7
171180 JUARINA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,3
171190 LAGOA DA CONFUSAO,25,16,2,2,2,3,1,6,6,5,68
171195 LAGOA DO TOCANTINS,4,NA,4,2,NA,NA,NA,NA,2,NA,12
171200 LAJEADO,2,1,NA,NA,NA,NA,NA,2,NA,1,6
171215 LAVANDEIRA,NA,2,NA,NA,NA,1,1,NA,NA,NA,4
171240 LIZARDA,4,1,NA,NA,NA,NA,1,NA,NA,2,8
171245 LUZINOPOLIS,8,8,17,3,2,2,NA,2,1,1,44
171250 MARIANOPOLIS DO TOCANTINS,NA,1,1,NA,NA,NA,NA,1,1,3,7
171270 MATEIROS,NA,2,NA,4,NA,2,1,NA,NA,NA,9
171280 MAURILANDIA DO TOCANTINS,9,9,12,11,5,2,4,4,5,NA,61
171320 MIRACEMA DO TOCANTINS,7,2,NA,1,4,NA,NA,2,3,2,21
171330 MIRANORTE,6,2,3,1,1,1,1,1,2,3,21
171360 MONTE DO CARMO,4,9,7,7,2,NA,1,NA,2,NA,32
171370 MONTE SANTO DO TOCANTINS,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
171380 PALMEIRAS DO TOCANTINS,3,3,2,1,NA,NA,NA,2,NA,NA,11
171395 MURICILANDIA,1,NA,NA,1,NA,NA,NA,3,NA,NA,5
171420 NATIVIDADE,2,6,8,3,NA,4,2,1,1,2,29
171430 NAZARE,2,2,1,NA,NA,NA,NA,1,NA,NA,6
171488 NOVA OLINDA,2,1,NA,NA,NA,1,2,1,NA,NA,7
171500 NOVA ROSALANDIA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
171510 NOVO ACORDO,5,1,2,NA,3,NA,1,NA,1,2,15
171515 NOVO ALEGRE,1,NA,NA,4,3,1,NA,NA,NA,NA,9
171525 NOVO JARDIM,2,5,1,NA,4,2,4,1,1,NA,20
171550 OLIVEIRA DE FATIMA,NA,1,1,NA,2,NA,NA,NA,1,2,7
171570 PALMEIRANTE,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2
171575 PALMEIROPOLIS,3,7,5,3,NA,1,1,1,NA,NA,21
171610 PARAISO DO TOCANTINS,7,10,NA,NA,1,2,5,8,16,17,66
171620 PARANA,19,13,7,7,1,1,5,5,NA,2,60
171630 PAU D'ARCO,2,1,NA,NA,NA,NA,3,2,NA,NA,8
171650 PEDRO AFONSO,4,5,2,9,4,3,4,4,8,5,48
171660 PEIXE,9,6,4,4,7,2,2,2,1,1,38
171665 PEQUIZEIRO,NA,1,3,2,1,NA,NA,NA,1,1,9
171670 COLMEIA,NA,NA,1,NA,1,NA,5,1,NA,NA,8
171700 PINDORAMA DO TOCANTINS,2,1,1,1,1,2,2,1,1,2,14
171750 PIUM,5,2,NA,4,2,3,2,4,1,1,24
171780 PONTE ALTA DO BOM JESUS,5,2,3,3,1,1,NA,NA,1,NA,16
171790 PONTE ALTA DO TOCANTINS,5,1,5,4,3,1,1,3,5,1,29
171800 PORTO ALEGRE DO TOCANTINS,3,1,3,1,3,NA,1,2,1,NA,15
171820 PORTO NACIONAL,49,41,49,39,19,12,6,14,25,21,275
171830 PRAIA NORTE,41,39,61,31,28,9,13,10,9,6,247
171840 PRESIDENTE KENNEDY,NA,NA,NA,1,NA,NA,NA,NA,1,1,3
171845 PUGMIL,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2
171850 RECURSOLANDIA,1,4,2,2,3,NA,1,NA,NA,1,14
171855 RIACHINHO,2,1,NA,NA,NA,NA,1,1,NA,NA,5
171865 RIO DA CONCEICAO,1,1,2,4,1,NA,2,3,1,NA,15
171870 RIO DOS BOIS,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3
171875 RIO SONO,NA,2,NA,3,1,NA,NA,1,1,NA,8
171880 SAMPAIO,30,33,42,19,32,8,9,7,8,4,192
171884 SANDOLANDIA,6,2,2,3,3,2,NA,2,1,1,22
171886 SANTA FE DO ARAGUAIA,1,2,1,NA,NA,3,2,2,1,NA,12
171888 SANTA MARIA DO TOCANTINS,1,NA,NA,1,1,2,1,NA,1,1,8
171889 SANTA RITA DO TOCANTINS,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
171890 SANTA ROSA DO TOCANTINS,4,11,7,3,4,1,1,3,3,3,40
171900 SANTA TEREZA DO TOCANTINS,7,1,3,5,2,NA,1,1,1,NA,21
172000 SANTA TEREZINHA DO TOCANTINS,1,1,NA,2,NA,NA,1,NA,NA,1,6
172010 SAO BENTO DO TOCANTINS,28,29,23,16,18,9,4,8,2,2,139
172015 SAO FELIX DO TOCANTINS,NA,NA,NA,NA,1,NA,NA,NA,2,NA,3
172020 SAO MIGUEL DO TOCANTINS,2,9,4,6,3,8,101,132,26,NA,291
172025 SAO SALVADOR DO TOCANTINS,2,2,4,1,3,1,NA,1,NA,NA,14
172030 SAO SEBASTIAO DO TOCANTINS,18,36,37,13,16,5,8,8,2,3,146
172049 SAO VALERIO,7,3,1,1,4,NA,NA,NA,NA,2,18
172065 SILVANOPOLIS,3,4,7,2,NA,1,2,2,1,2,24
172080 SITIO NOVO DO TOCANTINS,3,4,19,6,9,9,78,75,23,2,228
172085 SUCUPIRA,1,2,3,2,NA,NA,NA,NA,NA,NA,8
172090 TAGUATINGA,11,16,8,13,10,9,10,4,3,2,86
172093 TAIPAS DO TOCANTINS,2,1,5,2,2,NA,1,2,1,NA,16
172097 TALISMA,1,3,NA,3,NA,NA,NA,NA,NA,NA,7
172100 PALMAS,274,29,8,11,33,15,11,16,36,69,502
172110 TOCANTINIA,10,2,NA,2,1,1,4,4,4,1,29
172120 TOCANTINOPOLIS,47,36,25,27,13,11,5,14,1,NA,179
172125 TUPIRAMA,1,NA,NA,NA,1,NA,NA,1,NA,NA,3
172130 TUPIRATINS,1,1,NA,NA,NA,1,3,2,NA,NA,8
172208 WANDERLANDIA,3,2,NA,1,NA,NA,2,4,2,NA,14
172210 XAMBIOA,11,10,3,8,4,4,2,8,5,4,59
 MUNICIPIO IGNORADO NA MA,NA,2,1,NA,1,2,2,1,NA,NA,9
210005 ACAILANDIA,35,40,29,38,19,33,202,194,72,7,669
210010 AFONSO CUNHA,14,9,11,7,2,4,1,9,7,5,69
210015 AGUA DOCE DO MARANHAO,34,15,27,19,13,9,13,6,15,NA,151
210020 ALCANTARA,22,16,20,16,10,10,18,20,20,25,177
